Time,Bottle.position.x,Bottle.position.y,Bottle.position.z,Bottle.orientation.x,Bottle.orientation.y,Bottle.orientation.z,Bottle.orientation.w,CatchNet.position.x,CatchNet.position.y,CatchNet.position.z,CatchNet.orientation.x,CatchNet.orientation.y,CatchNet.orientation.z,CatchNet.orientation.w,TrashPickup.position.x,TrashPickup.position.y,TrashPickup.position.z,TrashPickup.orientation.x,TrashPickup.orientation.y,TrashPickup.orientation.z,TrashPickup.orientation.w,TrashPickup.velocity.x,TrashPickup.velocity.y,TrashPickup.velocity.z,Velocity_abs,Distance,Velocity_rel,Acceleration,Released,Moving,Freefall,Passed
1651820411.4799426,0.9296842455863952,-1.7036577761173248,0.2159688718616962,0.7002173334360122,0.1137354396283625,0.1593746855854987,-0.6865201771259308,0.1206920113414525,-2.483732628822327,0.0418143287301063,0.004895977419801,0.0038679992663673,0.7079929441213608,-0.7061917662620545,0.9258634567260742,-1.727801150083542,0.4214158236980438,-0.6893799275159835,-0.0405517304316162,0.7232386082410812,0.0040372248971834,-0.03473520278930442,0.0033563375472889234,-0.03412589430809021,0.048809588984874544,0.20689599066399111,0.0002131618990297568,-0.0004358248093121464,-10,-10,-10,-10
1651820411.4899426,0.9293213605880736,-1.7038752853870391,0.2156418457627296,0.7006592452526093,0.1139830045402049,0.1589148834347724,-0.6861314624547958,0.1207037210464477,-2.483733189105988,0.041836412064731,0.0049630616325884,0.0038374633295461,0.7079818844795227,-0.7062025278806686,0.9256009519100188,-1.7279424667358398,0.4210999056696892,-0.6892947882413865,-0.0405380826443433,0.7233212202787399,0.0036201606504618,-0.026250481605538667,-0.014131665229788481,-0.03159180283546226,0.04343769967533108,0.20689631470748723,0.00013491386834574293,-0.0006315036889301684,-10,-10,-10,-10
1651820411.4999423,0.9290035784244536,-1.7040973126888277,0.2152528025209903,0.7010866880416871,0.114215638488531,0.1585892222821712,-0.6857299029827117,0.1207154307514428,-2.483733749389649,0.0418584953993558,0.0050301458453759,0.0038069273927248,0.7079708248376846,-0.7062132894992829,0.9253384470939636,-1.7280837833881375,0.4207839876413345,-0.6892096489667893,-0.0405244348570703,0.7234038323163986,0.0032030964037403,-0.026250481605516462,-0.014131665229766277,-0.03159180283546781,0.043437699675314474,0.20695857561659964,0.00010518083377109022,-0.0007029272968417377,-10,-10,-10,-10
1651820411.5099423,0.9286857962608336,-1.7043193399906158,0.214863759279251,0.7015141308307647,0.1144482724368571,0.1582635611295699,-0.6853283435106278,0.1207349736243486,-2.4837342619895937,0.0418859945610165,0.0050825880141928,0.0038003741879947,0.7079531908035278,-0.7062306374311447,0.9250885307788848,-1.7282098293304444,0.4204294964671135,-0.6891653329133988,-0.040543060004711,0.7234454691410065,0.0027366986032575,-0.024991631507886858,-0.012604594230691823,-0.03544911742210388,0.04516743702217895,0.20698059837925253,0.00014328441400968117,-0.0007605898093214769,-10,-10,-10,-10
1651820411.5199423,0.9285038203001024,-1.7047206044197083,0.2145085372030734,0.7019609063863754,0.1148088119924067,0.1578927658498286,-0.6848970353603363,0.1207533650100231,-2.483735239505768,0.0418973546475171,0.0051068786531686,0.0037956658867187,0.7079369306564331,-0.70624680519104,0.9248479723930358,-1.7283210754394531,0.4200639203190803,-0.689132422208786,-0.040586370974779,0.723474782705307,0.0022705108625814,-0.02405583858489102,-0.011124610900870024,-0.03655761480331754,0.0451541751981567,0.20693806557577027,0.0001209540687712174,-0.0008866934132905069,-10,-10,-10,-10
1651820411.5299425,0.9283218443393708,-1.7051218688488006,0.2141533151268958,0.7024076819419861,0.1151693515479564,0.1575219705700873,-0.6844657272100448,0.1207658227533101,-2.483736991882324,0.0418960781767963,0.0051192010985686,0.0037839902681298,0.7079258263111115,-0.7062579154968261,0.9247179687023164,-1.7285216271877288,0.4197414055466651,-0.6891478866338729,-0.0404849085956811,0.7234663367271423,0.0018469905247911,-0.013000369071947127,-0.020055174827571243,-0.032251477241518334,0.04014196579181769,0.20694685195086887,3.148577715683665e-05,-0.000986956148971485,-10,-10,-10,-10
1651820411.5399425,0.9281398683786392,-1.705523133277893,0.2137980930507182,0.7028544574975968,0.115529891103506,0.1571511752903461,-0.6840344190597534,0.1207695581018924,-2.483738601207733,0.0418950853869318,0.0051404499914496,0.0037642938666976,0.7079216808080673,-0.7062620371580124,0.9245879650115968,-1.7287221789360043,0.41941889077425,-0.68916335105896,-0.0403834462165831,0.7234578907489777,0.0014234701870009,-0.013000369071958229,-0.020055174827549038,-0.03225147724151278,0.040141965791805734,0.20695585083161458,-6.366570729277043e-05,-0.0009235640382758703,-10,-10,-10,-10
1651820411.5499425,0.9280103832483292,-1.7058903992176055,0.2134192027151584,0.7032441645860672,0.1157592006027697,0.156968430429697,-0.6836411774158477,0.1207732934504746,-2.483740210533142,0.0418940925970673,0.0051616988843306,0.0037445974652655,0.7079175353050232,-0.7062661588191986,0.9244579613208772,-1.7289227306842805,0.4190963760018348,-0.6891788154840469,-0.0402819838374852,0.723449444770813,0.0009999498492106,-0.013000369071958229,-0.02005517482761565,-0.032251477241518334,0.040141965791843474,0.2069932549759507,-0.00012152335669068925,-0.000678113858211038,-10,-10,-10,-10
1651820411.5599425,0.9280141800642012,-1.7061760902404786,0.2131265394389629,0.7035958737134933,0.1160315230488776,0.1568918518722057,-0.6832544684410096,0.1207770287990569,-2.483741819858551,0.0418930998072027,0.0051829477772116,0.0037249010638333,0.707913389801979,-0.7062702804803849,0.9243279576301576,-1.7291232824325562,0.4187738612294197,-0.689194279909134,-0.0401805214583873,0.7234409987926483,0.0005764295114204,-0.013000369071958229,-0.020055174827571243,-0.03225147724151278,0.04014196579181682,0.20695647567766773,-0.00013644911130761272,-0.00026444522991586616,-10,-10,-10,-10
1651820411.5699425,0.9280179768800736,-1.7064617812633514,0.2128338761627673,0.7039475828409195,0.1163038454949855,0.1568152733147144,-0.6828677594661713,0.1207927525043487,-2.4837425112724305,0.0419026719406246,0.0052110879449173,0.0037142898188903,0.7078989416360855,-0.7062846332788467,0.9242252022027968,-1.729292529821396,0.4184348434209823,-0.689249011874199,-0.040055576711893,0.7233965337276459,0.0001706715091131,-0.010275542736082333,-0.016924738883972168,-0.03390178084373696,0.03926021280111029,0.2068994585710336,-0.00016098478878268097,0.0001661990234220756,-10,-10,-10,-10
