NaiveBC,RNN-BC,GAN-BC,Test,Train,Params,D-Params,Epochs,Old dataset,New dataset,Time signal,State history,Prepend,Learning rate,Pearson,Euclidean g,Manhattan g,Cosine,Euclidean m,Manhattan m,Pos error,Rot error,Release error,Rel. pos. err,Rel. vel. err,Missed by,Filename
False,False,True,False,True,128,128,51,True,False,True,3,True,1e-05,0.8662651144137298,0.0009588473817906409,0.14831286603022636,0.8922425335412616,0.54435193412799,1.186502928241811,0.22075890889942798,0.5622382414971356,0.34794520547945207,0.36408676829625886,30.68777755856917,7.299536971738037,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-51-trainval
False,False,True,True,False,128,128,68,True,False,True,3,True,1e-05,0.7256741925994936,0.003872698214761558,0.21693106545679777,0.7616394910344356,0.7669002713568095,1.7354485236543822,0.4019650005023619,0.8293504861257804,0.19999999999999996,0.17999071030388764,2.6415701019839144,0.903361256546091,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-68-testval
False,False,True,False,True,128,128,68,True,False,True,3,True,1e-05,0.9104013858406882,0.0008229295719324803,0.1279829484905932,0.9274624979863411,0.472712365577094,1.0238635879247453,0.22700887995363253,0.4624494895694421,0.14831880448318802,0.12918474858837378,2.995524042668502,0.9081807087026535,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-68-trainval
False,False,True,True,False,128,128,85,True,False,True,3,True,1e-05,0.7134202166129706,0.0038333684611145964,0.2419967080879442,0.7579693843814475,0.8177918038076741,1.9359736647035537,0.42893894582989406,1.0254215228818577,0.4647619047619047,0.16715325931492922,22.578777886721603,11.032974906043735,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-85-testval
False,False,True,False,True,128,128,85,True,False,True,3,True,1e-05,0.8778582298334849,0.0009353181915995136,0.15472050510445873,0.9014840047928082,0.5508872797564899,1.2377640408356698,0.25062608285384197,0.5830110653805252,0.3119551681195517,0.1574829212637111,16.49879345838714,16.85443680138173,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-at-85-trainval
False,False,True,True,False,128,128,200,True,False,True,3,True,1e-05,0.748946770797063,0.003780222385365359,0.22408775364794695,0.7920620202838167,0.7811656071579961,1.7927020291835756,0.4154571384794196,0.7115192480224282,0.44380952380952376,0.16320528308928958,15.50052842014499,11.098863373914412,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-testval
False,False,True,False,True,128,128,200,True,False,True,3,True,1e-05,0.8915849239054318,0.000867726900632758,0.13717234122347238,0.9130352162992735,0.5087384752544227,1.097378729787779,0.2213440530257329,0.49875158866166414,0.2838107098381071,0.14654861729483626,12.336110937962244,17.823471458330143,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-prepend-trainval
False,False,True,True,False,128,128,200,True,False,True,3,False,1e-05,0.7103138329276356,0.00400832814471811,0.21833032662540366,0.7588551508521775,0.7609892956246903,1.7466426130032293,0.4877989760355346,0.646392077337303,0.33904761904761904,0.2289483158093262,6.05266254548414,1.543223357251764,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-testval
False,False,True,False,True,128,128,200,True,False,True,3,False,1e-05,0.9102694425264957,0.0007676942836215035,0.12365375973725912,0.9274083488613928,0.44776616540942915,0.9892300778980727,0.18219705395316532,0.5195685201462293,0.1631382316313823,0.1825689542337264,4.685840049963457,1.403803447920476,BCO-leaky_g-128x2-128x2-start-timesignal-doubled-ep200-b64-trainval
False,False,True,True,False,128,128,0,True,False,True,1,False,1e-05,0.5841075324688112,0.05508322824982092,4.236004448481017,0.6661990048274468,13.89154556224848,33.88803558784814,5.599143057743458,1.031447520112667,0.480410447761194,1.044282719430434,192.75893185233872,468.3090687572823,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-0-testval
False,False,True,False,True,128,128,0,True,False,True,1,False,1e-05,0.6987945223028249,0.0174684123545222,3.7170788249619164,0.7659979669533995,12.251470429023136,29.73663059969533,4.818445283085818,0.9432573216185302,0.35147914645974787,1.022678712667683,181.28511448691089,434.56143575027477,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-0-trainval
False,False,True,True,False,128,128,102,True,False,True,1,False,1e-05,0.7634997004853733,0.0035266277538384635,0.18052717056885137,0.8030168596760313,0.6472872417369795,1.444217364550811,0.38537934710565724,0.5708943227929132,0.22667910447761197,0.1942717508430056,20.8147073582428,5.168908354977722,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-102-testval
False,False,True,False,True,128,128,102,True,False,True,1,False,1e-05,0.9290568703601225,0.0006730940889652988,0.10461265237549568,0.9429050862159182,0.3857667978708158,0.8369012190039654,0.15602721995885876,0.4630498404351582,0.12390882638215328,0.15992417349202157,14.853421859570398,6.376684928973347,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-102-trainval
False,False,True,True,False,128,128,119,True,False,True,1,False,1e-05,0.7487894458769763,0.0037830136155621386,0.21868589256044868,0.7925663318514472,0.7928428941471677,1.7494871404835894,0.4756440507111484,0.5855105865508639,0.47388059701492535,0.473161607613938,77.70186309638838,56.10400923077052,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-119-testval
False,False,True,False,True,128,128,119,True,False,True,1,False,1e-05,0.8533705489960917,0.0010376667256593824,0.16225733629755854,0.882729544822946,0.5999777954824163,1.298058690380468,0.294845044891309,0.5284966448041754,0.33777885548011644,0.40756720961746323,85.43955843353883,51.875318642321375,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-119-trainval
False,False,True,True,False,128,128,136,True,False,True,1,False,1e-05,0.6830217704999333,0.004413890610973811,0.2513891780690425,0.7360562787648627,0.8675383270137711,2.01111342455234,0.527734982756426,0.7549761308604204,0.41324626865671643,0.321899821823413,60.3069786939177,49.01839708280946,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-136-testval
False,False,True,False,True,128,128,136,True,False,True,1,False,1e-05,0.8877326072239856,0.0008713653587641589,0.13945663502316838,0.9100228813551121,0.5031706730443954,1.115653080185347,0.2377672172693739,0.5312415967862159,0.324199806013579,0.2319875174766861,49.067530834048064,47.43846701682048,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-136-trainval
False,False,True,True,False,128,128,153,True,False,True,1,False,1e-05,0.6810103870086137,0.00432406811310592,0.2337230244849504,0.7395978419595345,0.8571361040025343,1.869784195879603,0.49297188092132777,0.6634181426997564,0.3805970149253731,0.20956799773661758,14.18559806225973,3.0524485169007507,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-153-testval
False,False,True,False,True,128,128,153,True,False,True,1,False,1e-05,0.9058723539162623,0.0007948959116697099,0.12835899414477317,0.9224792077517279,0.5033018980817039,1.0268719531581854,0.2078890824657846,0.5012887699577809,0.25678952473326866,0.23714426620538495,11.247525129028569,1.9200227782223922,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-153-trainval
False,False,True,True,False,128,128,17,True,False,True,1,False,1e-05,0.673155788419911,0.004090038221328132,0.2951455705622499,0.7280213532453701,1.021119957873201,2.361164564497999,0.5446524235215071,0.831311360772747,0.6567164179104478,,,,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-17-testval
False,False,True,False,True,128,128,17,True,False,True,1,False,1e-05,0.7400317676057439,0.0012643032543250162,0.2482863070497624,0.7877358820404698,0.8781137730050059,1.9862904563980992,0.38825830875927325,0.8402205896625452,0.646944713870029,,,,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-17-trainval
False,False,True,True,False,128,128,170,True,False,True,1,False,1e-05,0.5983462241917824,0.006286254279588257,0.36357637148554955,0.6507413641135212,1.2470015184966492,2.9086109718843964,0.736231924542169,1.018492604110345,0.3899253731343284,0.15452445550235266,4.7435354333722985,2.6151812451890377,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-170-testval
False,False,True,False,True,128,128,170,True,False,True,1,False,1e-05,0.8801378199884322,0.0010005096179410496,0.17287215881623924,0.9009314281528441,0.6566481964806342,1.382977270529914,0.23507732560630593,0.7673780283813324,0.23084384093113486,0.13860483201910573,3.0056401540740674,0.781099856537416,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-170-trainval
False,False,True,True,False,128,128,187,True,False,True,1,False,1e-05,0.76773242283729,0.0034935925110632666,0.19734808108350846,0.8076861053440831,0.681380012503761,1.5787846486680677,0.41495484247016573,0.664411774132832,0.20708955223880599,0.179906605851948,7.449737486935832,1.419159001462208,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-187-testval
False,False,True,False,True,128,128,187,True,False,True,1,False,1e-05,0.9277078214575264,0.0006880232978322984,0.10774443688576577,0.9418452767855641,0.4090481054175499,0.8619554950861261,0.16687890849617543,0.47686724905808,0.12027158098933077,0.1923730354313334,5.9743384313238685,1.6514415364182353,BCO-leaky_g-128x2-128x2-start-timesignal-ep200-b64-at-187-trainval
